timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,0.321598,0.173168,3.982863,-3.883910
40,0.346336,0.247383,4.007602,-3.883910
60,0.272121,0.222645,4.007602,-3.859172
80,0.222645,0.148430,4.156032,-3.784957
100,0.247383,0.222645,4.057078,-3.809695
120,0.371074,0.272121,3.958125,-3.958125
140,0.420551,0.272121,3.908648,-3.908648
160,0.272121,0.173168,4.106555,-3.760219
180,0.247383,0.123691,4.057078,-3.784957
200,0.420551,0.247383,3.982863,-3.908648
220,0.371074,0.272121,3.982863,-3.883910
241,0.321598,0.222645,4.007602,-3.784957
260,0.222645,0.123691,4.081817,-3.760219
280,0.222645,0.173168,4.081817,-3.784957
300,0.346336,0.272121,3.908648,-3.982863
320,0.346336,0.321598,3.958125,-3.982863
340,0.321598,0.222645,4.057078,-3.883910
360,0.272121,0.148430,4.106555,-3.784957
380,0.321598,0.222645,3.883910,-3.958125
400,0.371074,0.272121,3.883910,-3.883910
420,0.346336,0.173168,4.007602,-3.859172
440,0.222645,0.173168,4.007602,-3.760219
460,0.272121,0.173168,4.007602,-3.784957
480,0.371074,0.321598,3.883910,-3.958125
500,0.420551,0.272121,3.958125,-3.908648
520,0.222645,0.173168,4.057078,-3.760219
540,0.272121,0.148430,3.982863,-3.760219
560,0.346336,0.247383,3.958125,-3.908648
580,0.346336,0.272121,3.982863,-3.859172
600,0.321598,0.173168,4.007602,-3.859172
620,0.247383,0.148430,4.106555,-3.760219
640,0.272121,0.222645,4.057078,-3.784957
660,0.371074,0.247383,3.908648,-3.982863
680,0.346336,0.222645,3.982863,-3.859172
700,0.321598,0.247383,4.057078,-3.809695
720,0.272121,0.173168,4.057078,-3.784957
740,0.321598,0.222645,4.057078,-3.883910
760,0.321598,0.321598,3.982863,-3.883910
780,0.321598,0.222645,3.982863,-3.809695
800,0.222645,0.123691,4.057078,-3.784957
820,0.321598,0.173168,3.982863,-3.859172
840,0.371074,0.272121,3.982863,-3.908648
860,0.321598,0.222645,3.982863,-3.908648
880,0.272121,0.123691,4.106555,-3.710742
900,0.247383,0.173168,4.106555,-3.859172
920,0.371074,0.247383,3.982863,-3.859172
940,0.321598,0.222645,4.007602,-3.883910
960,0.321598,0.173168,3.958125,-3.883910
980,0.272121,0.173168,4.057078,-3.784957
1000,0.272121,0.173168,4.007602,-3.784957
1020,0.371074,0.222645,3.982863,-3.908648
1040,0.371074,0.346336,3.908648,-3.958125
1060,0.272121,0.222645,4.081817,-3.859172
1080,0.247383,0.123691,4.106555,-3.784957
1100,0.321598,0.247383,4.007602,-3.908648
1120,0.346336,0.247383,3.883910,-3.908648
1140,0.346336,0.173168,3.982863,-3.859172
1160,0.272121,0.148430,4.106555,-3.710742
1180,0.272121,0.173168,4.057078,-3.784957
1200,0.346336,0.247383,3.958125,-3.908648
1220,0.272121,0.222645,3.982863,-3.859172
1240,0.272121,0.148430,4.057078,-3.784957
1260,0.321598,0.148430,4.081817,-3.784957
1280,0.346336,0.173168,3.982863,-3.883910
1300,0.346336,0.222645,4.007602,-3.908648
1320,0.321598,0.222645,4.156032,-3.809695
1340,0.222645,0.173168,4.106555,-3.710742
1360,0.272121,0.222645,4.106555,-3.859172
1380,0.272121,0.173168,3.982863,-3.958125
1400,0.445289,0.247383,3.982863,-3.883910
1420,0.247383,0.148430,4.156032,-3.760219
1440,0.173168,0.173168,4.156032,-3.686004
1460,0.272121,0.222645,3.982863,-3.859172
1480,0.371074,0.247383,3.958125,-3.958125
1500,0.272121,0.173168,4.007602,-3.859172
1520,0.222645,0.173168,4.106555,-3.784957
1540,0.321598,0.173168,3.982863,-3.859172
1560,0.371074,0.222645,3.982863,-3.958125
1580,0.346336,0.173168,3.982863,-3.883910
1600,0.247383,0.173168,4.106555,-3.784957
1620,0.247383,0.173168,4.057078,-3.760219
1640,0.272121,0.222645,3.982863,-3.908648
1660,0.272121,0.247383,3.958125,-3.908648
1680,0.272121,0.247383,4.007602,-3.809695
1700,0.272121,0.173168,4.081817,-3.760219
1720,0.321598,0.272121,3.958125,-3.908648
1740,0.272121,0.272121,3.982863,-3.908648
1760,0.321598,0.247383,4.057078,-3.908648
1780,0.272121,0.173168,4.081817,-3.809695
1800,0.272121,0.222645,4.057078,-3.859172
1820,0.272121,0.247383,4.007602,-3.859172
1840,0.371074,0.247383,3.958125,-3.859172
1860,0.247383,0.222645,4.007602,-3.859172
1880,0.321598,0.222645,3.958125,-3.859172
1900,0.346336,0.173168,4.057078,-3.760219
1920,0.321598,0.222645,4.057078,-3.859172
1940,0.321598,0.222645,3.982863,-3.908648
1960,0.346336,0.247383,3.883910,-3.809695
1980,0.272121,0.148430,4.106555,-3.760219
2000,0.272121,0.222645,4.057078,-3.809695
2020,0.371074,0.272121,3.958125,-3.883910
2040,0.371074,0.173168,4.007602,-3.859172
2060,0.321598,0.222645,4.057078,-3.784957
2080,0.321598,0.173168,4.057078,-3.859172
2100,0.321598,0.247383,3.982863,-3.883910
2120,0.420551,0.272121,3.958125,-3.883910
2140,0.371074,0.272121,3.958125,-3.883910
2160,0.247383,0.173168,4.057078,-3.859172
2180,0.272121,0.173168,4.057078,-3.859172
2200,0.321598,0.272121,3.982863,-3.908648
2220,0.346336,0.247383,3.958125,-3.908648
2240,0.272121,0.148430,4.007602,-3.760219
2260,0.222645,0.148430,4.057078,-3.710742
2280,0.371074,0.173168,3.908648,-3.859172
2300,0.371074,0.272121,3.958125,-3.908648
2320,0.247383,0.123691,4.057078,-3.809695
2340,0.222645,0.148430,4.106555,-3.784957
2360,0.346336,0.173168,4.057078,-3.784957
2380,0.371074,0.272121,3.908648,-3.859172
2400,0.321598,0.222645,3.982863,-3.859172
2420,0.272121,0.173168,4.057078,-3.760219
2440,0.272121,0.148430,4.081817,-3.784957
2460,0.321598,0.173168,4.057078,-3.883910
2480,0.420551,0.272121,4.007602,-3.883910
2500,0.371074,0.272121,3.908648,-3.859172
2520,0.346336,0.173168,4.057078,-3.809695
2540,0.272121,0.222645,4.057078,-3.784957
2560,0.346336,0.247383,3.883910,-3.908648
2580,0.371074,0.321598,3.958125,-3.883910
2600,0.247383,0.247383,4.007602,-3.809695
2620,0.321598,0.148430,4.081817,-3.784957
2640,0.346336,0.222645,3.958125,-3.908648
2660,0.420551,0.272121,3.883910,-3.908648
2680,0.272121,0.222645,3.958125,-3.809695
2700,0.321598,0.148430,4.007602,-3.760219
2720,0.272121,0.222645,4.081817,-3.710742
2740,0.371074,0.321598,3.958125,-3.958125
2760,0.420551,0.247383,3.908648,-3.908648
2780,0.321598,0.173168,4.106555,-3.784957
2800,0.272121,0.173168,4.106555,-3.784957
2820,0.346336,0.247383,3.982863,-3.908648
2840,0.321598,0.247383,4.007602,-3.908648
2860,0.321598,0.272121,4.007602,-3.859172
2880,0.321598,0.222645,4.007602,-3.859172
2900,0.272121,0.173168,4.057078,-3.710742
2920,0.346336,0.247383,3.908648,-3.883910
2940,0.346336,0.247383,3.958125,-3.908648
2960,0.247383,0.148430,4.081817,-3.784957
2980,0.173168,0.074215,4.156032,-3.784957
3000,0.247383,0.173168,3.982863,-3.859172
3020,0.346336,0.247383,4.007602,-3.883910
3040,0.272121,0.173168,3.982863,-3.809695
3060,0.222645,0.123691,4.106555,-3.760219
3080,0.272121,0.148430,4.081817,-3.784957
3100,0.321598,0.272121,4.007602,-3.958125
3120,0.346336,0.272121,3.982863,-3.908648
3140,0.222645,0.222645,4.156032,-3.784957
3160,0.272121,0.222645,4.106555,-3.809695
3180,0.321598,0.222645,4.007602,-3.883910
3200,0.371074,0.272121,3.958125,-3.908648
3220,0.346336,0.222645,4.106555,-3.809695
3240,0.247383,0.173168,4.057078,-3.784957
3260,0.272121,0.222645,3.982863,-3.859172
3280,0.321598,0.247383,4.007602,-3.908648
3300,0.346336,0.247383,3.982863,-3.883910
3320,0.272121,0.123691,4.057078,-3.784957
3340,0.272121,0.247383,4.081817,-3.809695
3360,0.346336,0.222645,4.057078,-3.958125
3380,0.346336,0.247383,3.982863,-3.908648
3400,0.272121,0.272121,4.057078,-3.883910
3420,0.222645,0.148430,4.106555,-3.784957
3440,0.247383,0.123691,4.106555,-3.784957
3460,0.371074,0.272121,3.908648,-3.958125
3480,0.371074,0.272121,4.057078,-3.908648
3500,0.222645,0.173168,4.106555,-3.784957
3520,0.247383,0.173168,4.081817,-3.859172
3540,0.272121,0.222645,3.982863,-3.859172
3560,0.346336,0.173168,4.007602,-3.908648
3580,0.346336,0.272121,3.982863,-3.883910
3600,0.247383,0.148430,4.106555,-3.760219
3620,0.222645,0.148430,4.057078,-3.784957
3640,0.346336,0.222645,4.007602,-3.883910
3660,0.420551,0.321598,3.982863,-3.908648
3680,0.247383,0.148430,4.106555,-3.859172
3700,0.222645,0.148430,4.180769,-3.760219
3720,0.222645,0.247383,4.007602,-3.859172
3740,0.371074,0.173168,3.982863,-3.883910
3760,0.321598,0.272121,3.958125,-3.958125
3780,0.247383,0.173168,4.106555,-3.784957
3800,0.222645,0.148430,4.156032,-3.784957
3820,0.247383,0.173168,4.057078,-3.809695
3840,0.346336,0.247383,3.982863,-3.908648
3860,0.321598,0.247383,3.982863,-3.883910
3880,0.247383,0.123691,4.156032,-3.710742
3900,0.321598,0.148430,4.007602,-3.859172
3920,0.371074,0.247383,3.958125,-3.883910
3940,0.321598,0.173168,4.007602,-3.859172
3960,0.247383,0.222645,4.057078,-3.809695
3980,0.247383,0.123691,4.106555,-3.784957
4000,0.321598,0.222645,3.958125,-3.908648
4020,0.346336,0.272121,3.908648,-3.958125
4040,0.247383,0.173168,4.081817,-3.784957
4060,0.321598,0.173168,4.007602,-3.809695
4080,0.247383,0.173168,4.081817,-3.809695
4100,0.321598,0.247383,3.982863,-3.883910
4120,0.272121,0.321598,3.908648,-3.908648
4140,0.247383,0.173168,4.057078,-3.784957
4160,0.247383,0.148430,4.057078,-3.760219
4180,0.272121,0.247383,3.982863,-3.883910
4200,0.371074,0.321598,3.908648,-3.958125
4220,0.346336,0.173168,4.007602,-3.883910
4240,0.272121,0.148430,4.106555,-3.784957
4260,0.272121,0.148430,4.057078,-3.809695
4280,0.346336,0.222645,3.883910,-3.908648
4300,0.321598,0.247383,4.007602,-3.859172
4320,0.247383,0.173168,4.081817,-3.784957
4344,0.247383,0.123691,4.057078,-3.784957
4360,0.346336,0.247383,3.958125,-3.908648
4380,0.420551,0.346336,3.809695,-3.958125
4400,0.346336,0.123691,4.057078,-3.809695
4421,0.222645,0.173168,4.106555,-3.784957
4440,0.222645,0.173168,4.081817,-3.760219
4460,0.371074,0.247383,3.908648,-3.958125
4480,0.420551,0.346336,3.908648,-3.958125
4500,0.222645,0.173168,4.081817,-3.784957
4520,0.247383,0.173168,4.081817,-3.760219
4540,0.371074,0.321598,3.958125,-3.908648
4560,0.371074,0.222645,3.982863,-3.908648
4580,0.321598,0.148430,4.081817,-3.784957
4600,0.222645,0.148430,4.081817,-3.710742
4620,0.272121,0.173168,4.106555,-3.809695
4640,0.346336,0.247383,3.982863,-3.958125
4660,0.346336,0.272121,3.958125,-3.883910
4680,0.247383,0.173168,4.081817,-3.760219
4700,0.247383,0.123691,4.106555,-3.710742
4720,0.346336,0.247383,3.982863,-3.859172
4740,0.346336,0.272121,3.982863,-3.908648
4760,0.321598,0.272121,3.982863,-3.883910
4780,0.247383,0.247383,4.081817,-3.760219
4800,0.272121,0.148430,4.057078,-3.784957
4820,0.321598,0.222645,4.007602,-3.809695
4840,0.321598,0.222645,3.958125,-3.883910
4860,0.272121,0.173168,4.057078,-3.859172
4880,0.272121,0.148430,4.057078,-3.784957
4900,0.272121,0.247383,4.007602,-3.859172
4920,0.272121,0.247383,3.958125,-3.908648
4940,0.272121,0.173168,3.982863,-3.809695
4960,0.272121,0.148430,4.057078,-3.784957
4980,0.272121,0.222645,4.057078,-3.809695
5000,0.321598,0.247383,4.007602,-3.908648
5020,0.346336,0.247383,3.982863,-3.908648
5040,0.222645,0.173168,4.057078,-3.809695
5060,0.247383,0.173168,4.081817,-3.784957
5080,0.247383,0.173168,3.958125,-3.883910
5100,0.346336,0.247383,3.908648,-3.908648
5120,0.321598,0.173168,4.007602,-3.859172
5140,0.247383,0.148430,4.106555,-3.710742
5160,0.272121,0.148430,4.106555,-3.809695
5180,0.272121,0.247383,3.982863,-3.883910
5200,0.321598,0.272121,3.982863,-3.883910
5220,0.272121,0.173168,4.007602,-3.859172
5240,0.272121,0.173168,4.007602,-3.784957
5260,0.321598,0.222645,4.007602,-3.859172
5280,0.371074,0.247383,3.982863,-3.908648
5300,0.272121,0.222645,4.007602,-3.859172
5320,0.247383,0.173168,4.057078,-3.809695
5340,0.247383,0.148430,4.081817,-3.809695
5360,0.371074,0.272121,3.982863,-3.958125
5380,0.346336,0.222645,3.982863,-3.908648
5400,0.272121,0.173168,4.081817,-3.784957
5420,0.272121,0.173168,4.156032,-3.760219
5440,0.321598,0.148430,4.057078,-3.883910
5460,0.420551,0.272121,3.982863,-3.908648
5480,0.321598,0.173168,4.057078,-3.809695
5500,0.272121,0.148430,4.156032,-3.710742
5520,0.272121,0.173168,4.081817,-3.760219
5540,0.321598,0.222645,3.982863,-3.908648
5560,0.321598,0.247383,4.007602,-3.883910
5580,0.247383,0.173168,4.081817,-3.784957
5600,0.222645,0.173168,4.106555,-3.859172
5620,0.247383,0.173168,3.982863,-3.883910
5640,0.346336,0.272121,3.908648,-3.908648
5660,0.346336,0.272121,4.007602,-3.859172
5680,0.272121,0.173168,4.057078,-3.809695
5700,0.222645,0.148430,4.057078,-3.784957
5720,0.222645,0.222645,4.156032,-3.784957
5740,0.371074,0.247383,3.982863,-3.908648
5760,0.272121,0.222645,4.007602,-3.859172
5780,0.321598,0.148430,4.057078,-3.784957
5800,0.247383,0.148430,4.057078,-3.784957
5820,0.346336,0.272121,3.908648,-3.908648
5840,0.371074,0.272121,3.958125,-3.958125
5860,0.272121,0.222645,4.106555,-3.809695
5880,0.247383,0.148430,4.057078,-3.809695
5900,0.321598,0.247383,3.982863,-3.859172
5920,0.346336,0.346336,3.958125,-3.908648
5940,0.321598,0.247383,4.007602,-3.859172
5960,0.148430,0.148430,4.106555,-3.784957
5980,0.272121,0.148430,4.057078,-3.859172
6000,0.321598,0.247383,3.908648,-3.883910
6020,0.371074,0.247383,3.982863,-3.908648
6040,0.247383,0.247383,4.057078,-3.809695
6060,0.148430,0.148430,4.106555,-3.784957
6080,0.272121,0.247383,3.982863,-3.908648
6100,0.445289,0.272121,3.859172,-3.908648
6120,0.321598,0.148430,3.982863,-3.809695
6140,0.272121,0.148430,4.057078,-3.710742
6160,0.272121,0.148430,4.081817,-3.760219
6180,0.346336,0.272121,3.883910,-3.958125
6200,0.420551,0.272121,3.982863,-3.883910
6220,0.321598,0.123691,4.057078,-3.859172
6240,0.272121,0.222645,4.081817,-3.784957
6260,0.321598,0.148430,3.982863,-3.859172
6280,0.371074,0.272121,3.958125,-3.908648
6300,0.247383,0.247383,4.007602,-3.883910
6320,0.222645,0.148430,4.106555,-3.809695
6340,0.321598,0.247383,4.057078,-3.859172
6360,0.272121,0.148430,4.007602,-3.859172
6380,0.371074,0.173168,4.007602,-3.859172
6400,0.247383,0.173168,4.057078,-3.809695
6420,0.321598,0.222645,3.982863,-3.784957
6440,0.321598,0.222645,4.081817,-3.883910
6460,0.346336,0.247383,3.982863,-3.908648
6480,0.371074,0.222645,3.982863,-3.809695
6500,0.272121,0.173168,4.156032,-3.710742
6520,0.321598,0.222645,4.007602,-3.883910
6540,0.346336,0.321598,3.908648,-3.958125
6560,0.321598,0.222645,4.057078,-3.883910
6580,0.272121,0.173168,4.106555,-3.809695
6600,0.247383,0.173168,4.057078,-3.710742
6620,0.420551,0.247383,3.958125,-3.883910
6640,0.371074,0.321598,3.908648,-3.908648
6660,0.272121,0.148430,4.057078,-3.784957
6680,0.247383,0.123691,4.156032,-3.710742
6700,0.321598,0.173168,4.106555,-3.809695
6720,0.346336,0.173168,3.958125,-3.908648
6740,0.321598,0.272121,3.908648,-3.908648
6760,0.272121,0.148430,4.081817,-3.710742
6780,0.247383,0.148430,4.106555,-3.710742
6800,0.321598,0.173168,4.007602,-3.784957
6820,0.321598,0.247383,3.908648,-3.908648
6840,0.371074,0.222645,4.007602,-3.859172
6860,0.247383,0.123691,4.081817,-3.710742
6880,0.272121,0.173168,4.057078,-3.760219
6900,0.346336,0.247383,3.958125,-3.883910
6920,0.321598,0.247383,3.958125,-3.958125
6940,0.321598,0.148430,4.081817,-3.809695
6960,0.272121,0.074215,4.081817,-3.760219
6980,0.346336,0.222645,4.007602,-3.809695
7000,0.321598,0.247383,3.982863,-3.859172
7020,0.371074,0.247383,4.007602,-3.883910
7040,0.247383,0.148430,4.081817,-3.710742
7060,0.247383,0.173168,4.007602,-3.859172
7080,0.346336,0.272121,3.982863,-3.883910
7100,0.346336,0.222645,3.982863,-3.883910
7120,0.247383,0.173168,4.106555,-3.784957
7140,0.222645,0.148430,4.156032,-3.784957
7160,0.272121,0.173168,4.007602,-3.883910
7180,0.346336,0.272121,3.982863,-3.883910
7200,0.321598,0.222645,4.057078,-3.809695
7220,0.272121,0.173168,4.106555,-3.760219
7240,0.247383,0.173168,4.106555,-3.809695
7260,0.346336,0.222645,3.982863,-3.883910
7280,0.346336,0.222645,4.007602,-3.883910
7300,0.222645,0.148430,4.106555,-3.760219
7320,0.247383,0.222645,4.057078,-3.784957
7340,0.272121,0.222645,3.908648,-3.883910
7360,0.371074,0.247383,3.883910,-3.908648
7380,0.272121,0.222645,4.057078,-3.859172
7400,0.272121,0.123691,4.106555,-3.710742
7420,0.321598,0.123691,4.007602,-3.809695
7444,0.346336,0.247383,3.982863,-3.883910
7460,0.321598,0.247383,3.982863,-3.883910
7480,0.247383,0.173168,4.081817,-3.784957
7500,0.272121,0.148430,4.081817,-3.784957
7520,0.272121,0.222645,4.057078,-3.883910
7540,0.371074,0.247383,3.982863,-3.908648
7560,0.346336,0.173168,4.057078,-3.809695
7580,0.247383,0.148430,4.156032,-3.760219
7600,0.222645,0.123691,4.106555,-3.784957
7620,0.321598,0.272121,3.958125,-3.883910
7640,0.346336,0.272121,3.958125,-3.883910
7660,0.272121,0.222645,4.007602,-3.883910
7680,0.272121,0.173168,4.057078,-3.784957
7700,0.321598,0.222645,3.982863,-3.908648
7720,0.346336,0.272121,3.982863,-3.958125
7740,0.321598,0.272121,4.081817,-3.859172
7760,0.321598,0.173168,4.081817,-3.859172
7780,0.247383,0.148430,4.106555,-3.760219
7800,0.247383,0.222645,3.982863,-3.883910
7820,0.346336,0.247383,4.007602,-3.859172
7840,0.272121,0.247383,4.057078,-3.859172
7860,0.148430,0.247383,4.106555,-3.859172
7880,0.321598,0.173168,4.057078,-3.784957
7900,0.321598,0.247383,4.007602,-3.883910
7920,0.371074,0.272121,3.908648,-3.908648
7940,0.247383,0.148430,4.057078,-3.784957
7960,0.222645,0.173168,4.106555,-3.859172
7980,0.321598,0.222645,4.007602,-3.908648
8000,0.272121,0.247383,3.982863,-3.982863
8020,0.247383,0.173168,4.106555,-3.859172
8040,0.222645,0.148430,4.057078,-3.784957
8060,0.272121,0.173168,4.057078,-3.859172
8080,0.371074,0.272121,3.982863,-3.908648
8100,0.346336,0.247383,3.982863,-3.859172
8120,0.247383,0.222645,4.057078,-3.760219
8140,0.272121,0.148430,4.106555,-3.809695
8160,0.272121,0.222645,4.057078,-3.809695
8180,0.346336,0.173168,3.908648,-3.883910
8200,0.321598,0.222645,4.007602,-3.859172
8220,0.272121,0.222645,4.156032,-3.760219
8240,0.247383,0.222645,4.081817,-3.784957
8260,0.420551,0.222645,3.883910,-3.908648
8280,0.420551,0.346336,3.958125,-3.958125
8300,0.321598,0.148430,4.007602,-3.809695
8320,0.272121,0.222645,4.106555,-3.784957
8340,0.321598,0.173168,3.982863,-3.859172
8360,0.371074,0.247383,3.982863,-3.908648
8380,0.371074,0.222645,3.908648,-3.859172
8400,0.247383,0.173168,4.057078,-3.784957
8420,0.247383,0.148430,4.057078,-3.784957
8440,0.371074,0.222645,3.982863,-3.883910
8460,0.346336,0.173168,3.958125,-3.859172
8480,0.222645,0.148430,4.057078,-3.784957
8500,0.247383,0.222645,4.106555,-3.809695
8520,0.247383,0.148430,4.081817,-3.809695
8540,0.321598,0.222645,3.982863,-3.958125
8560,0.321598,0.272121,3.958125,-3.908648
8580,0.222645,0.148430,4.057078,-3.883910
8600,0.272121,0.173168,4.106555,-3.809695
8620,0.346336,0.247383,3.908648,-3.908648
8640,0.371074,0.321598,3.982863,-3.883910
8660,0.321598,0.173168,4.081817,-3.784957
8680,0.173168,0.148430,4.081817,-3.784957
8700,0.321598,0.173168,4.081817,-3.859172
8720,0.420551,0.321598,3.958125,-3.982863
8740,0.346336,0.173168,3.958125,-3.908648
8760,0.222645,0.123691,4.057078,-3.784957
8780,0.321598,0.123691,4.106555,-3.784957
8800,0.371074,0.247383,3.883910,-3.908648
8820,0.371074,0.272121,3.908648,-3.908648
8839,0.222645,0.173168,4.057078,-3.809695
8860,0.222645,0.247383,4.081817,-3.784957
8880,0.321598,0.173168,3.982863,-3.883910
8900,0.346336,0.247383,3.908648,-3.958125
8920,0.321598,0.247383,3.982863,-3.908648
8940,0.321598,0.148430,4.081817,-3.784957
8960,0.173168,0.148430,4.081817,-3.784957
8980,0.346336,0.247383,3.908648,-3.958125
9000,0.371074,0.272121,3.982863,-3.958125
9020,0.272121,0.148430,4.081817,-3.859172
9040,0.247383,0.173168,4.156032,-3.710742
9060,0.272121,0.173168,4.007602,-3.784957
9080,0.346336,0.222645,3.982863,-3.883910
9100,0.346336,0.247383,3.958125,-3.908648
9120,0.272121,0.173168,4.057078,-3.859172
9140,0.173168,0.148430,4.156032,-3.859172
9160,0.321598,0.247383,4.007602,-3.908648
9180,0.346336,0.247383,3.958125,-3.883910
9200,0.247383,0.247383,4.007602,-3.883910
9220,0.222645,0.148430,4.156032,-3.784957
9240,0.247383,0.173168,3.982863,-3.859172
9260,0.346336,0.247383,4.007602,-3.883910
9280,0.321598,0.222645,3.958125,-3.883910
9300,0.321598,0.148430,4.057078,-3.784957
9320,0.173168,0.148430,4.081817,-3.784957
9340,0.371074,0.247383,3.982863,-3.883910
9360,0.371074,0.222645,4.007602,-3.859172
9380,0.346336,0.148430,4.007602,-3.784957
9400,0.272121,0.173168,4.106555,-3.760219
9420,0.321598,0.148430,4.081817,-3.760219
9440,0.321598,0.222645,3.982863,-3.883910
9460,0.346336,0.222645,3.958125,-3.908648
9480,0.222645,0.148430,4.057078,-3.859172
9500,0.272121,0.123691,4.106555,-3.859172
9520,0.346336,0.222645,4.081817,-3.859172
9540,0.346336,0.247383,3.958125,-3.908648
9560,0.272121,0.173168,4.057078,-3.809695
9580,0.222645,0.148430,4.057078,-3.809695
9600,0.247383,0.148430,4.106555,-3.784957
9620,0.321598,0.222645,4.007602,-3.883910
9640,0.420551,0.247383,3.982863,-3.883910
9660,0.272121,0.123691,4.057078,-3.710742
9680,0.222645,0.123691,4.081817,-3.784957
9700,0.321598,0.173168,4.057078,-3.908648
9720,0.321598,0.272121,4.007602,-3.958125
9740,0.247383,0.148430,4.106555,-3.809695
9760,0.222645,0.123691,4.180769,-3.710742
9780,0.321598,0.173168,4.007602,-3.883910
9800,0.321598,0.222645,3.908648,-3.908648
9820,0.321598,0.272121,4.057078,-3.859172
9840,0.222645,0.173168,4.081817,-3.809695
9860,0.247383,0.123691,4.057078,-3.859172
