timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,,,,
40,0.346336,0.321598,3.859172,-3.784957
60,0.272121,0.247383,3.784957,-3.809695
80,0.173168,0.123691,3.908648,-3.661266
100,0.321598,0.222645,3.883910,-3.710742
120,0.346336,0.272121,3.760219,-3.784957
140,0.346336,0.272121,3.883910,-3.760219
160,0.272121,0.148430,3.908648,-3.661266
180,0.247383,0.173168,3.883910,-3.686004
200,0.346336,0.222645,3.809695,-3.760219
220,0.321598,0.272121,3.859172,-3.809695
240,0.247383,0.222645,3.908648,-3.760219
260,0.247383,0.148430,4.007602,-3.661266
280,0.346336,0.247383,3.859172,-3.784957
300,0.371074,0.321598,3.784957,-3.784957
320,0.346336,0.222645,3.883910,-3.710742
340,0.247383,0.123691,3.982863,-3.636528
360,0.222645,0.222645,3.883910,-3.686004
380,0.346336,0.272121,3.784957,-3.809695
400,0.346336,0.272121,3.784957,-3.784957
420,0.247383,0.148430,3.883910,-3.710742
440,0.222645,0.173168,3.958125,-3.686004
460,0.272121,0.222645,3.859172,-3.710742
480,0.346336,0.247383,3.809695,-3.710742
500,0.321598,0.247383,3.859172,-3.760219
520,0.272121,0.173168,3.859172,-3.686004
540,0.272121,0.222645,3.908648,-3.686004
560,0.272121,0.222645,3.859172,-3.661266
580,0.346336,0.222645,3.784957,-3.809695
600,0.346336,0.148430,3.958125,-3.636528
620,0.173168,0.148430,3.908648,-3.661266
640,0.272121,0.247383,3.859172,-3.710742
660,0.321598,0.272121,3.784957,-3.710742
680,0.247383,0.173168,3.883910,-3.661266
700,0.247383,0.123691,3.982863,-3.636528
720,0.247383,0.173168,3.859172,-3.686004
740,0.346336,0.247383,3.809695,-3.809695
760,0.371074,0.247383,3.784957,-3.784957
780,0.173168,0.222645,3.883910,-3.686004
803,0.222645,0.074215,4.007602,-3.661266
820,0.247383,0.173168,3.859172,-3.784957
840,0.346336,0.272121,3.859172,-3.859172
860,0.346336,0.222645,3.859172,-3.760219
880,0.247383,0.222645,3.908648,-3.661266
900,0.272121,0.222645,3.859172,-3.760219
920,0.321598,0.247383,3.784957,-3.809695
940,0.371074,0.247383,3.760219,-3.809695
960,0.321598,0.222645,3.859172,-3.710742
980,0.321598,0.148430,3.982863,-3.661266
1000,0.247383,0.222645,3.982863,-3.661266
1019,0.346336,0.247383,3.784957,-3.784957
1040,0.346336,0.247383,3.859172,-3.760219
1060,0.272121,0.148430,3.883910,-3.636528
1080,0.247383,0.222645,3.883910,-3.686004
1100,0.272121,0.272121,3.859172,-3.809695
1121,0.321598,0.272121,3.760219,-3.784957
1140,0.321598,0.222645,3.859172,-3.710742
1160,0.272121,0.123691,3.859172,-3.661266
1180,0.321598,0.222645,3.760219,-3.686004
1200,0.346336,0.272121,3.710742,-3.809695
1220,0.346336,0.272121,3.809695,-3.760219
1240,0.222645,0.148430,3.908648,-3.661266
1260,0.272121,0.173168,3.908648,-3.636528
1280,0.321598,0.247383,3.809695,-3.784957
1300,0.321598,0.321598,3.883910,-3.784957
1320,0.272121,0.222645,3.958125,-3.710742
1340,0.222645,0.148430,3.982863,-3.686004
