timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,0.272121,0.222645,4.057078,-3.859172
40,0.173168,0.123691,4.156032,-3.760219
60,0.173168,0.123691,4.057078,-3.784957
80,0.247383,0.247383,3.982863,-3.883910
100,0.321598,0.272121,3.982863,-3.883910
120,0.321598,0.247383,3.982863,-3.908648
140,0.247383,0.148430,4.081817,-3.809695
160,0.247383,0.173168,4.081817,-3.784957
180,0.321598,0.222645,4.106555,-3.809695
200,0.346336,0.346336,3.958125,-3.908648
220,0.272121,0.247383,4.057078,-3.859172
240,0.222645,0.123691,4.156032,-3.809695
260,0.222645,0.173168,4.081817,-3.784957
281,0.321598,0.272121,3.958125,-3.908648
300,0.346336,0.321598,4.007602,-3.958125
320,0.222645,0.123691,4.156032,-3.784957
340,0.222645,0.173168,4.081817,-3.784957
360,0.222645,0.173168,4.081817,-3.883910
380,0.321598,0.247383,3.982863,-3.982863
400,0.247383,0.173168,4.081817,-3.809695
420,0.173168,0.074215,4.081817,-3.760219
440,0.222645,0.173168,4.007602,-3.859172
460,0.272121,0.321598,3.982863,-3.908648
480,0.272121,0.222645,3.982863,-3.859172
500,0.272121,0.123691,4.057078,-3.809695
520,0.173168,0.123691,4.180769,-3.760219
540,0.321598,0.247383,4.007602,-3.859172
560,0.272121,0.222645,4.007602,-3.883910
580,0.272121,0.247383,4.007602,-3.908648
600,0.148430,0.074215,4.205508,-3.784957
620,0.247383,0.173168,4.057078,-3.859172
640,0.272121,0.247383,3.982863,-3.958125
660,0.272121,0.148430,3.982863,-3.908648
680,0.247383,0.173168,4.156032,-3.784957
700,0.272121,0.173168,4.057078,-3.784957
720,0.321598,0.222645,4.081817,-3.883910
740,0.346336,0.247383,4.007602,-3.908648
760,0.321598,0.173168,4.057078,-3.883910
780,0.272121,0.222645,4.081817,-3.809695
800,0.222645,0.173168,4.057078,-3.859172
820,0.346336,0.247383,4.057078,-3.908648
840,0.222645,0.173168,4.007602,-3.859172
860,0.222645,0.148430,4.081817,-3.710742
880,0.222645,0.173168,4.081817,-3.809695
900,0.247383,0.173168,3.982863,-3.859172
920,0.222645,0.247383,4.007602,-3.883910
940,0.346336,0.222645,3.982863,-3.859172
960,0.173168,0.148430,4.106555,-3.760219
980,0.173168,0.173168,4.081817,-3.784957
1000,0.346336,0.247383,3.982863,-3.883910
1020,0.321598,0.247383,3.982863,-3.883910
1040,0.247383,0.123691,4.057078,-3.710742
1060,0.173168,0.123691,4.156032,-3.686004
1080,0.346336,0.247383,3.982863,-3.958125
1100,0.321598,0.222645,3.958125,-3.883910
1120,0.272121,0.222645,4.156032,-3.883910
1140,0.222645,0.123691,4.081817,-3.784957
1160,0.247383,0.148430,4.106555,-3.784957
1180,0.247383,0.148430,3.982863,-3.908648
1200,0.272121,0.247383,3.982863,-3.908648
1220,0.272121,0.148430,4.081817,-3.809695
1240,0.173168,0.049477,4.180769,-3.760219
