timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,-0.247383,0.272121,4.601320,-4.106555
40,-0.321598,0.247383,4.601320,-4.180769
60,-0.346336,0.222645,4.725012,-4.081817
80,-0.371074,0.222645,4.749750,-4.081817
100,-0.321598,0.222645,4.700274,-4.106555
120,-0.247383,0.247383,4.675535,-4.156032
140,-0.272121,0.247383,4.675535,-4.106555
160,-0.346336,0.148430,4.749750,-4.007602
180,-0.371074,0.247383,4.725012,-4.057078
200,-0.272121,0.247383,4.675535,-4.156032
220,-0.272121,0.222645,4.626059,-4.081817
240,-0.272121,0.222645,4.700274,-4.057078
260,-0.371074,0.123691,4.725012,-4.007602
280,-0.346336,0.222645,4.675535,-4.081817
300,-0.222645,0.247383,4.626059,-4.156032
320,-0.321598,0.222645,4.700274,-4.106555
340,-0.371074,0.222645,4.725012,-4.007602
360,-0.346336,0.222645,4.725012,-4.007602
380,-0.321598,0.222645,4.601320,-4.156032
400,-0.321598,0.222645,4.626059,-4.106555
420,-0.346336,0.222645,4.725012,-4.081817
440,-0.371074,0.222645,4.799227,-4.081817
460,-0.321598,0.222645,4.725012,-4.180769
480,-0.247383,0.272121,4.601320,-4.156032
500,-0.222645,0.247383,4.675535,-4.081817
520,-0.420551,0.123691,4.799227,-3.982863
540,-0.346336,0.148430,4.700274,-4.007602
560,-0.272121,0.222645,4.675535,-4.156032
580,-0.247383,0.247383,4.601320,-4.081817
600,-0.371074,0.148430,4.700274,-4.057078
620,-0.346336,0.148430,4.725012,-4.057078
640,-0.222645,0.222645,4.700274,-4.081817
660,-0.222645,0.272121,4.675535,-4.156032
680,-0.272121,0.247383,4.675535,-4.057078
700,-0.272121,0.173168,4.675535,-4.081817
720,-0.346336,0.148430,4.725012,-4.081817
740,-0.222645,0.222645,4.700274,-4.180769
760,-0.247383,0.173168,4.626059,-4.081817
780,-0.321598,0.148430,4.725012,-4.007602
805,-0.321598,0.222645,4.700274,-4.081817
820,-0.222645,0.247383,4.601320,-4.180769
