timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,-0.445289,0.173168,4.626059,-3.982863
40,-0.420551,0.148430,4.576582,-3.958125
60,-0.321598,0.222645,4.576582,-4.057078
80,-0.247383,0.247383,4.527106,-3.982863
100,-0.346336,0.148430,4.626059,-3.982863
120,-0.371074,0.148430,4.725012,-3.982863
140,-0.321598,0.173168,4.601320,-4.057078
160,-0.346336,0.247383,4.502367,-4.081817
180,-0.346336,0.173168,4.601320,-4.057078
210,-0.346336,0.148430,4.700274,-3.958125
220,-0.371074,0.173168,4.626059,-3.982863
240,-0.272121,0.247383,4.626059,-4.081817
260,-0.346336,0.222645,4.675535,-4.057078
280,-0.346336,0.222645,4.675535,-4.007602
300,-0.445289,0.123691,4.700274,-3.958125
320,-0.321598,0.247383,4.576582,-4.057078
340,-0.321598,0.247383,4.527106,-4.081817
360,-0.371074,0.222645,4.626059,-4.007602
380,-0.420551,0.148430,4.675535,-3.982863
400,-0.371074,0.123691,4.675535,-3.982863
420,-0.247383,0.247383,4.601320,-4.106555
440,-0.247383,0.272121,4.527106,-4.057078
460,-0.321598,0.148430,4.675535,-3.958125
480,-0.420551,0.148430,4.700274,-3.908648
500,-0.321598,0.148430,4.527106,-4.057078
520,-0.247383,0.222645,4.477629,-4.081817
540,-0.321598,0.148430,4.601320,-4.007602
560,-0.371074,0.123691,4.725012,-3.908648
580,-0.371074,0.148430,4.700274,-3.958125
600,-0.272121,0.247383,4.527106,-4.007602
620,-0.321598,0.173168,4.576582,-3.982863
640,-0.346336,0.173168,4.675535,-3.982863
660,-0.420551,0.123691,4.700274,-3.958125
683,-0.321598,0.222645,4.626059,-4.081817
700,-0.272121,0.247383,4.576582,-4.057078
720,-0.346336,0.148430,4.601320,-4.057078
740,-0.371074,0.148430,4.626059,-3.958125
760,-0.346336,0.173168,4.675535,-3.958125
780,-0.272121,0.222645,4.527106,-4.057078
800,-0.321598,0.173168,4.576582,-4.057078
821,-0.346336,0.148430,4.576582,-3.982863
840,-0.420551,0.148430,4.700274,-3.958125
860,-0.321598,0.173168,4.601320,-4.057078
880,-0.247383,0.272121,4.477629,-4.106555
900,-0.321598,0.173168,4.626059,-4.057078
920,-0.346336,0.173168,4.675535,-3.958125
940,-0.371074,0.173168,4.626059,-3.982863
960,-0.321598,0.247383,4.576582,-4.057078
980,-0.247383,0.247383,4.576582,-4.081817
1000,-0.346336,0.123691,4.675535,-3.982863
1020,-0.346336,0.123691,4.700274,-3.958125
1040,-0.371074,0.173168,4.725012,-3.982863
1060,-0.321598,0.272121,4.527106,-4.057078
1080,-0.321598,0.247383,4.626059,-3.982863
1100,-0.371074,0.148430,4.626059,-3.908648
1120,-0.420551,0.148430,4.675535,-3.908648
