timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,,,,
40,0.247383,0.173168,3.710742,-3.636528
60,0.321598,0.247383,3.710742,-3.686004
80,0.346336,0.272121,3.562313,-3.686004
100,0.247383,0.222645,3.710742,-3.636528
120,0.173168,0.173168,3.760219,-3.587051
140,0.247383,0.173168,3.784957,-3.686004
160,0.321598,0.247383,3.661266,-3.859172
180,0.247383,0.272121,3.686004,-3.686004
200,0.247383,0.173168,3.710742,-3.661266
220,0.247383,0.148430,3.784957,-3.661266
240,0.173168,0.173168,3.710742,-3.661266
260,0.272121,0.272121,3.636528,-3.760219
280,0.222645,0.173168,3.784957,-3.587051
300,0.173168,0.123691,3.784957,-3.562313
320,0.321598,0.247383,3.686004,-3.661266
340,0.346336,0.247383,3.636528,-3.686004
360,0.321598,0.222645,3.686004,-3.661266
380,0.173168,0.148430,3.809695,-3.587051
400,0.148430,0.173168,3.809695,-3.537574
420,0.272121,0.222645,3.661266,-3.710742
440,0.321598,0.247383,3.636528,-3.760219
460,0.247383,0.173168,3.760219,-3.587051
480,0.173168,0.173168,3.809695,-3.587051
500,0.247383,0.222645,3.710742,-3.661266
520,0.321598,0.272121,3.636528,-3.760219
540,0.272121,0.247383,3.661266,-3.686004
560,0.247383,0.173168,3.710742,-3.587051
580,0.222645,0.173168,3.710742,-3.661266
600,0.272121,0.247383,3.686004,-3.710742
620,0.247383,0.272121,3.661266,-3.760219
640,0.272121,0.247383,3.710742,-3.686004
660,0.173168,0.247383,3.760219,-3.661266
680,0.272121,0.173168,3.710742,-3.661266
700,0.346336,0.247383,3.661266,-3.661266
720,0.321598,0.321598,3.636528,-3.686004
740,0.222645,0.173168,3.661266,-3.661266
760,0.272121,0.247383,3.710742,-3.661266
780,0.272121,0.247383,3.760219,-3.710742
800,0.247383,0.247383,3.636528,-3.760219
820,0.222645,0.247383,3.710742,-3.661266
840,0.173168,0.173168,3.809695,-3.587051
860,0.222645,0.222645,3.784957,-3.661266
880,0.247383,0.222645,3.710742,-3.710742
900,0.272121,0.222645,3.661266,-3.686004
920,0.247383,0.148430,3.636528,-3.661266
940,0.173168,0.123691,3.760219,-3.587051
960,0.222645,0.247383,3.686004,-3.661266
980,0.272121,0.321598,3.686004,-3.686004
1000,0.272121,0.272121,3.686004,-3.784957
1020,0.222645,0.173168,3.710742,-3.710742
1040,0.173168,0.222645,3.710742,-3.661266
1060,0.321598,0.247383,3.686004,-3.661266
1080,0.247383,0.222645,3.686004,-3.686004
1100,0.272121,0.222645,3.710742,-3.661266
1120,0.222645,0.222645,3.760219,-3.661266
1140,0.247383,0.173168,3.710742,-3.587051
1160,0.321598,0.247383,3.686004,-3.686004
1180,0.346336,0.321598,3.587051,-3.784957
1200,0.173168,0.222645,3.710742,-3.587051
1221,0.222645,0.222645,3.686004,-3.686004
1240,0.222645,0.222645,3.686004,-3.710742
1260,0.272121,0.321598,3.661266,-3.760219
1280,0.247383,0.222645,3.710742,-3.710742
1300,0.173168,0.148430,3.784957,-3.587051
1320,0.148430,0.173168,3.784957,-3.587051
1340,0.321598,0.272121,3.636528,-3.760219
