timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,0.321598,0.148430,3.636528,-3.784957
40,0.272121,0.148430,3.661266,-3.760219
60,0.321598,0.247383,3.562313,-3.859172
80,0.346336,0.247383,3.587051,-3.809695
100,0.321598,0.148430,3.562313,-3.809695
120,0.222645,0.074215,3.636528,-3.710742
140,0.321598,0.148430,3.562313,-3.784957
160,0.420551,0.247383,3.562313,-3.859172
180,0.321598,0.173168,3.587051,-3.809695
200,0.321598,0.123691,3.661266,-3.760219
220,0.272121,0.148430,3.661266,-3.760219
240,0.346336,0.173168,3.636528,-3.809695
260,0.346336,0.247383,3.537574,-3.809695
280,0.321598,0.173168,3.587051,-3.784957
300,0.247383,0.074215,3.710742,-3.760219
320,0.321598,0.123691,3.661266,-3.784957
341,0.346336,0.247383,3.537574,-3.883910
360,0.346336,0.247383,3.488098,-3.859172
380,0.321598,0.123691,3.636528,-3.710742
400,0.222645,0.123691,3.661266,-3.760219
420,0.321598,0.247383,3.537574,-3.859172
440,0.420551,0.247383,3.537574,-3.859172
460,0.272121,0.173168,3.661266,-3.760219
480,0.321598,0.148430,3.661266,-3.710742
500,0.321598,0.148430,3.636528,-3.809695
520,0.321598,0.247383,3.537574,-3.859172
540,0.321598,0.173168,3.587051,-3.859172
560,0.272121,0.173168,3.587051,-3.784957
580,0.321598,0.173168,3.661266,-3.760219
600,0.321598,0.173168,3.562313,-3.784957
620,0.321598,0.173168,3.636528,-3.809695
640,0.346336,0.247383,3.587051,-3.809695
660,0.272121,0.148430,3.587051,-3.760219
680,0.321598,0.148430,3.636528,-3.809695
700,0.346336,0.173168,3.537574,-3.809695
720,0.321598,0.173168,3.587051,-3.784957
740,0.272121,0.074215,3.661266,-3.686004
760,0.346336,0.148430,3.636528,-3.760219
780,0.272121,0.173168,3.661266,-3.760219
800,0.346336,0.222645,3.587051,-3.809695
820,0.272121,0.148430,3.587051,-3.760219
840,0.272121,0.074215,3.686004,-3.760219
860,0.222645,0.148430,3.661266,-3.760219
880,0.272121,0.247383,3.587051,-3.809695
900,0.321598,0.222645,3.587051,-3.883910
920,0.272121,0.074215,3.636528,-3.784957
940,0.272121,0.074215,3.636528,-3.686004
960,0.371074,0.173168,3.537574,-3.883910
980,0.371074,0.247383,3.562313,-3.809695
1000,0.346336,0.222645,3.587051,-3.784957
1020,0.321598,0.123691,3.661266,-3.710742
1040,0.272121,0.173168,3.562313,-3.784957
1060,0.321598,0.247383,3.537574,-3.883910
1080,0.321598,0.247383,3.562313,-3.809695
1100,0.346336,0.148430,3.587051,-3.760219
1120,0.222645,0.123691,3.661266,-3.760219
1140,0.247383,0.148430,3.636528,-3.809695
1160,0.371074,0.247383,3.587051,-3.859172
1180,0.346336,0.148430,3.636528,-3.760219
1200,0.272121,0.074215,3.661266,-3.760219
1220,0.321598,0.123691,3.661266,-3.710742
1240,0.371074,0.247383,3.562313,-3.809695
1260,0.371074,0.247383,3.562313,-3.859172
1280,0.247383,0.222645,3.587051,-3.809695
1300,0.321598,0.148430,3.636528,-3.809695
1321,0.272121,0.247383,3.562313,-3.760219
1340,0.371074,0.173168,3.562313,-3.883910
1360,0.321598,0.148430,3.636528,-3.760219
1380,0.272121,0.123691,3.636528,-3.710742
1400,0.321598,0.173168,3.562313,-3.809695
1420,0.321598,0.173168,3.562313,-3.809695
1440,0.321598,0.247383,3.537574,-3.883910
1460,0.321598,0.148430,3.587051,-3.784957
1480,0.272121,0.123691,3.636528,-3.784957
1500,0.346336,0.123691,3.661266,-3.784957
1520,0.371074,0.247383,3.562313,-3.859172
1540,0.371074,0.173168,3.562313,-3.859172
1560,0.321598,0.173168,3.587051,-3.859172
1580,0.222645,0.074215,3.661266,-3.760219
1600,0.272121,0.173168,3.636528,-3.809695
1620,0.346336,0.173168,3.562313,-3.883910
1640,0.321598,0.173168,3.562313,-3.784957
1660,0.321598,0.148430,3.636528,-3.784957
1680,0.321598,0.148430,3.661266,-3.760219
1700,0.346336,0.173168,3.562313,-3.809695
1720,0.346336,0.247383,3.562313,-3.809695
1740,0.321598,0.123691,3.661266,-3.710742
1760,0.321598,0.148430,3.562313,-3.784957
1780,0.346336,0.173168,3.488098,-3.859172
1800,0.346336,0.247383,3.537574,-3.859172
1820,0.346336,0.247383,3.537574,-3.809695
1840,0.272121,0.074215,3.636528,-3.710742
1860,0.272121,0.173168,3.587051,-3.859172
1880,0.371074,0.272121,3.537574,-3.883910
1900,0.346336,0.247383,3.537574,-3.883910
1920,0.321598,0.173168,3.587051,-3.809695
1940,0.272121,0.148430,3.661266,-3.760219
1960,0.272121,0.148430,3.587051,-3.784957
1980,0.371074,0.272121,3.537574,-3.859172
2000,0.321598,0.148430,3.636528,-3.784957
2020,0.222645,0.148430,3.686004,-3.710742
2040,0.321598,0.148430,3.636528,-3.809695
2060,0.321598,0.222645,3.587051,-3.784957
2080,0.321598,0.148430,3.562313,-3.859172
2100,0.321598,0.173168,3.636528,-3.809695
2120,0.321598,0.148430,3.636528,-3.760219
2140,0.321598,0.173168,3.636528,-3.760219
2160,0.321598,0.148430,3.587051,-3.809695
2180,0.272121,0.247383,3.587051,-3.760219
2200,0.222645,0.148430,3.661266,-3.760219
2220,0.346336,0.074215,3.636528,-3.784957
2240,0.346336,0.247383,3.537574,-3.883910
2260,0.346336,0.247383,3.562313,-3.859172
2280,0.346336,0.148430,3.587051,-3.784957
2300,0.321598,0.074215,3.587051,-3.710742
2320,0.346336,0.148430,3.587051,-3.784957
2340,0.371074,0.222645,3.537574,-3.883910
2360,0.321598,0.148430,3.636528,-3.784957
2380,0.272121,0.173168,3.587051,-3.809695
2400,0.272121,0.148430,3.636528,-3.784957
2420,0.346336,0.222645,3.587051,-3.809695
2440,0.346336,0.222645,3.537574,-3.859172
2460,0.321598,0.148430,3.661266,-3.760219
2480,0.272121,0.148430,3.661266,-3.760219
2500,0.346336,0.148430,3.636528,-3.809695
2520,0.346336,0.148430,3.562313,-3.809695
2540,0.371074,0.247383,3.537574,-3.809695
2560,0.346336,0.173168,3.587051,-3.760219
2580,0.272121,0.123691,3.587051,-3.760219
2600,0.346336,0.173168,3.587051,-3.760219
2620,0.321598,0.272121,3.587051,-3.908648
2640,0.346336,0.173168,3.562313,-3.809695
2660,0.346336,0.123691,3.661266,-3.760219
