timestamp_ms,joint_val_1,joint_val_2,joint_val_3,joint_val_4
0,,,,
20,0.346336,0.148430,3.784957,-3.982863
40,0.321598,0.049477,3.809695,-3.958125
60,0.247383,0.049477,3.883910,-3.908648
80,0.321598,0.123691,3.809695,-3.958125
100,0.371074,0.173168,3.686004,-4.057078
121,0.321598,0.148430,3.809695,-3.908648
140,0.247383,0.123691,3.883910,-3.883910
160,0.247383,0.074215,3.883910,-3.883910
180,0.371074,0.222645,3.760219,-3.982863
200,0.346336,0.148430,3.686004,-3.982863
220,0.321598,0.123691,3.809695,-3.908648
240,0.346336,0.000000,3.809695,-3.883910
260,0.346336,0.074215,3.809695,-3.908648
280,0.346336,0.123691,3.784957,-3.982863
300,0.346336,0.074215,3.809695,-3.908648
320,0.321598,0.074215,3.883910,-3.958125
340,0.321598,0.049477,3.859172,-3.908648
360,0.321598,0.123691,3.760219,-3.958125
380,0.420551,0.148430,3.784957,-3.982863
400,0.346336,0.074215,3.809695,-3.883910
420,0.346336,0.049477,3.809695,-3.883910
440,0.321598,0.074215,3.809695,-3.883910
460,0.371074,0.123691,3.760219,-3.958125
480,0.321598,0.074215,3.784957,-3.908648
500,0.321598,0.049477,3.809695,-3.883910
520,0.321598,0.049477,3.859172,-3.883910
540,0.346336,0.123691,3.784957,-3.982863
560,0.346336,0.173168,3.784957,-3.982863
580,0.272121,0.123691,3.859172,-3.908648
600,0.272121,0.074215,3.883910,-3.958125
620,0.420551,0.123691,3.760219,-3.982863
640,0.371074,0.173168,3.710742,-4.057078
660,0.321598,0.074215,3.859172,-3.908648
680,0.272121,0.024738,3.809695,-3.859172
700,0.321598,0.074215,3.859172,-3.908648
720,0.321598,0.173168,3.784957,-3.958125
740,0.346336,0.074215,3.784957,-3.883910
760,0.321598,0.049477,3.809695,-3.883910
780,0.272121,0.024738,3.809695,-3.883910
800,0.321598,0.049477,3.784957,-3.908648
820,0.371074,0.123691,3.760219,-3.982863
840,0.321598,0.074215,3.809695,-3.908648
860,0.321598,0.049477,3.859172,-3.908648
880,0.272121,0.049477,3.809695,-3.908648
900,0.321598,0.074215,3.809695,-3.958125
920,0.420551,0.074215,3.760219,-3.982863
940,0.321598,0.074215,3.809695,-3.883910
960,0.272121,0.074215,3.859172,-3.859172
980,0.321598,0.074215,3.883910,-3.859172
1000,0.371074,0.123691,3.784957,-3.982863
1020,0.321598,0.123691,3.809695,-3.908648
1040,0.321598,0.074215,3.784957,-3.958125
1060,0.321598,0.049477,3.859172,-3.883910
1080,0.321598,0.074215,3.784957,-3.982863
1100,0.346336,0.148430,3.760219,-3.982863
1120,0.346336,0.074215,3.760219,-3.908648
1140,0.321598,0.074215,3.784957,-3.883910
1160,0.346336,0.049477,3.760219,-3.982863
1180,0.346336,0.123691,3.809695,-3.982863
1200,0.346336,0.148430,3.809695,-3.958125
1220,0.321598,0.049477,3.859172,-3.883910
1240,0.272121,0.049477,3.809695,-3.859172
1260,0.346336,0.123691,3.784957,-3.982863
1280,0.371074,0.173168,3.760219,-4.007602
1300,0.346336,0.074215,3.859172,-3.908648
1320,0.321598,0.074215,3.809695,-3.908648
1340,0.321598,0.074215,3.859172,-3.908648
1360,0.321598,0.148430,3.784957,-3.958125
1380,0.346336,0.173168,3.710742,-3.982863
1400,0.321598,0.074215,3.809695,-3.958125
1420,0.272121,0.024738,3.784957,-3.883910
1440,0.321598,0.123691,3.784957,-3.958125
1460,0.420551,0.148430,3.784957,-4.057078
1480,0.346336,0.074215,3.784957,-3.982863
1500,0.346336,0.123691,3.784957,-3.908648
1520,0.272121,0.074215,3.859172,-3.883910
1540,0.346336,0.123691,3.809695,-3.958125
1560,0.321598,0.049477,3.809695,-3.958125
1580,0.321598,0.074215,3.809695,-3.883910
1600,0.321598,0.074215,3.859172,-3.883910
1620,0.420551,0.123691,3.760219,-3.982863
1640,0.371074,0.148430,3.760219,-3.982863
1660,0.346336,0.074215,3.784957,-3.958125
1680,0.272121,0.024738,3.908648,-3.883910
1700,0.321598,0.049477,3.908648,-3.883910
1720,0.371074,0.123691,3.809695,-3.982863
1740,0.420551,0.123691,3.784957,-4.007602
1760,0.346336,0.123691,3.809695,-3.982863
1780,0.272121,0.000000,3.883910,-3.859172
1800,0.321598,0.123691,3.809695,-3.883910
1820,0.420551,0.148430,3.710742,-4.007602
1840,0.346336,0.222645,3.760219,-3.982863
